Interest Rate,,,,(Unit : %)
Date,1Y,10Y,30Y,40Y
5/18/20,-0.181,-0.007,0.466,0.49
5/19/20,-0.171,0.008,0.471,0.494
5/20/20,-0.172,0.009,0.456,0.481
5/21/20,-0.179,0.004,0.437,0.462
5/22/20,-0.19,-0.001,0.442,0.465
5/25/20,-0.183,0.01,0.47,0.49
5/26/20,-0.174,0.01,0.475,0.506
5/27/20,-0.157,0.007,0.465,0.499
5/28/20,-0.167,0.005,0.475,0.511
5/29/20,-0.158,0.009,0.495,0.529
6/1/20,-0.17,0.014,0.509,0.547
6/2/20,-0.17,0.013,0.509,0.551
6/3/20,-0.171,0.018,0.509,0.547
6/4/20,-0.172,0.034,0.532,0.569
6/5/20,-0.162,0.049,0.551,0.583
6/8/20,-0.164,0.05,0.559,0.587
6/9/20,-0.165,0.025,0.526,0.553
6/10/20,-0.165,0.031,0.526,0.551
6/11/20,-0.169,0.017,0.509,0.533
6/12/20,-0.167,0.021,0.523,0.547
6/15/20,-0.169,0.011,0.508,0.533
6/16/20,-0.169,0.028,0.531,0.551
6/17/20,-0.17,0.027,0.541,0.562
6/18/20,-0.171,0.022,0.551,0.574
6/19/20,-0.161,0.022,0.555,0.583
6/22/20,-0.163,0.02,0.555,0.583
6/23/20,-0.164,0.02,0.56,0.592
6/24/20,-0.165,0.025,0.569,0.606
6/25/20,-0.173,0.025,0.567,0.604
6/26/20,-0.176,0.02,0.574,0.604
6/29/20,-0.18,0.025,0.574,0.605
6/30/20,-0.18,0.042,0.589,0.618
7/1/20,-0.18,0.062,0.616,0.649
7/2/20,-0.18,0.042,0.628,0.663
7/3/20,-0.181,0.022,0.606,0.642
7/6/20,-0.171,0.043,0.615,0.646
7/7/20,-0.172,0.036,0.61,0.631
7/8/20,-0.173,0.018,0.568,0.586
7/9/20,-0.173,0.018,0.554,0.571
7/10/20,-0.173,0.018,0.563,0.585
7/13/20,-0.174,0.029,0.596,0.616
7/14/20,-0.175,0.024,0.591,0.616
7/15/20,-0.169,0.024,0.605,0.631
7/16/20,-0.17,0.014,0.596,0.622
7/17/20,-0.17,0.014,0.582,0.609
7/20/20,-0.166,0.025,0.596,0.619
7/21/20,-0.167,0.016,0.577,0.597
7/22/20,-0.163,0.016,0.573,0.591
7/27/20,-0.158,0.021,0.573,0.586
7/28/20,-0.159,0.027,0.564,0.577
7/29/20,-0.158,0.023,0.54,0.551
7/30/20,-0.158,0.023,0.545,0.559
7/31/20,-0.159,0.018,0.529,0.541
8/3/20,-0.151,0.029,0.554,0.564
8/4/20,-0.152,0.019,0.554,0.569
8/5/20,-0.152,0.014,0.544,0.559
8/6/20,-0.143,0.024,0.553,0.569
8/7/20,-0.144,0.014,0.549,0.566
8/11/20,-0.126,0.034,0.569,0.586
8/12/20,-0.12,0.048,0.596,0.608
8/13/20,-0.127,0.04,0.592,0.604
8/14/20,-0.122,0.054,0.615,0.631
8/17/20,-0.12,0.05,0.615,0.626
8/18/20,-0.126,0.044,0.615,0.626
8/19/20,-0.127,0.034,0.602,0.617
8/20/20,-0.122,0.034,0.606,0.617
8/21/20,-0.123,0.039,0.615,0.631
8/24/20,-0.125,0.03,0.601,0.613
8/25/20,-0.118,0.038,0.587,0.599
8/26/20,-0.116,0.05,0.602,0.613
8/27/20,-0.127,0.05,0.597,0.609
8/28/20,-0.127,0.065,0.619,0.631
8/31/20,-0.129,0.056,0.606,0.617
9/1/20,-0.13,0.051,0.611,0.622
9/2/20,-0.121,0.05,0.613,0.626
9/3/20,-0.132,0.04,0.602,0.613
9/4/20,-0.133,0.045,0.607,0.617
9/7/20,-0.135,0.051,0.619,0.631
9/8/20,-0.136,0.045,0.61,0.617
9/9/20,-0.137,0.034,0.598,0.608
9/10/20,-0.138,0.033,0.598,0.608
9/11/20,-0.139,0.029,0.578,0.586
9/14/20,-0.142,0.027,0.578,0.586
9/15/20,-0.143,0.027,0.584,0.591
9/16/20,-0.144,0.028,0.592,0.6
9/17/20,-0.145,0.022,0.588,0.604
9/18/20,-0.146,0.023,0.588,0.604
9/23/20,-0.158,0.02,0.592,0.604
9/24/20,-0.16,0.019,0.596,0.609
9/25/20,-0.154,0.02,0.606,0.622
9/28/20,-0.157,0.036,0.62,0.643
9/29/20,-0.158,0.031,0.611,0.634
9/30/20,-0.149,0.027,0.595,0.62
10/1/20,-0.14,0.022,0.611,0.629
10/2/20,-0.141,0.017,0.606,0.624
10/5/20,-0.142,0.023,0.62,0.634
10/6/20,-0.133,0.033,0.637,0.651
10/7/20,-0.134,0.038,0.634,0.642
10/8/20,-0.134,0.037,0.629,0.635
10/9/20,-0.135,0.032,0.629,0.644
10/12/20,-0.137,0.029,0.634,0.648
10/13/20,-0.138,0.028,0.638,0.658
10/14/20,-0.138,0.03,0.638,0.653
10/15/20,-0.139,0.023,0.629,0.644
10/16/20,-0.14,0.024,0.619,0.631
10/19/20,-0.142,0.025,0.62,0.631
10/20/20,-0.142,0.024,0.606,0.617
10/21/20,-0.133,0.034,0.623,0.635
10/22/20,-0.134,0.034,0.629,0.64
10/23/20,-0.134,0.04,0.639,0.653
10/26/20,-0.126,0.035,0.639,0.653
10/27/20,-0.135,0.03,0.63,0.644
10/28/20,-0.136,0.025,0.63,0.644
10/29/20,-0.137,0.031,0.626,0.64
10/30/20,-0.138,0.041,0.64,0.656
11/2/20,-0.13,0.046,0.635,0.653
11/4/20,-0.132,0.042,0.64,0.657
11/5/20,-0.142,0.023,0.612,0.626
11/6/20,-0.143,0.022,0.626,0.644
11/9/20,-0.145,0.022,0.626,0.644
11/10/20,-0.136,0.038,0.645,0.661
11/11/20,-0.136,0.043,0.649,0.67
11/12/20,-0.147,0.033,0.649,0.67
11/13/20,-0.147,0.027,0.654,0.674
11/16/20,-0.149,0.027,0.654,0.677
11/17/20,-0.151,0.027,0.644,0.666
11/18/20,-0.151,0.023,0.625,0.648
11/19/20,-0.152,0.017,0.63,0.653
11/20/20,-0.152,0.018,0.625,0.644
11/24/20,-0.152,0.028,0.639,0.657
11/25/20,-0.146,0.023,0.645,0.666
11/26/20,-0.146,0.029,0.65,0.675
11/27/20,-0.137,0.035,0.651,0.678
11/30/20,-0.129,0.034,0.646,0.674
12/1/20,-0.13,0.025,0.651,0.675
12/2/20,-0.121,0.029,0.651,0.674
12/3/20,-0.122,0.028,0.647,0.67
12/4/20,-0.132,0.029,0.651,0.679
12/7/20,-0.134,0.029,0.647,0.674
12/8/20,-0.134,0.023,0.633,0.661
12/9/20,-0.135,0.026,0.623,0.648
12/10/20,-0.128,0.022,0.614,0.635
12/11/20,-0.129,0.022,0.614,0.638
12/14/20,-0.132,0.023,0.628,0.656
12/15/20,-0.133,0.012,0.623,0.655
12/16/20,-0.124,0.017,0.628,0.661
12/17/20,-0.125,0.016,0.626,0.658
12/18/20,-0.126,0.017,0.624,0.654
12/21/20,-0.124,0.022,0.638,0.662
12/22/20,-0.124,0.016,0.628,0.653
12/23/20,-0.124,0.017,0.613,0.635
12/24/20,-0.125,0.028,0.623,0.644
12/25/20,-0.126,0.027,0.637,0.653
12/28/20,-0.126,0.028,0.642,0.658
12/29/20,-0.118,0.035,0.647,0.666
12/30/20,-0.119,0.035,0.647,0.666
1/4/21,-0.112,0.033,0.655,0.671
1/5/21,-0.112,0.021,0.64,0.662
1/6/21,-0.113,0.027,0.65,0.671
1/7/21,-0.114,0.037,0.653,0.671
1/8/21,-0.114,0.038,0.65,0.662
1/12/21,-0.117,0.033,0.65,0.662
1/13/21,-0.124,0.028,0.636,0.645
1/14/21,-0.128,0.033,0.645,0.661
1/15/21,-0.129,0.033,0.65,0.67
1/18/21,-0.121,0.049,0.66,0.679
1/19/21,-0.122,0.044,0.66,0.674
1/20/21,-0.132,0.04,0.665,0.682
1/21/21,-0.133,0.034,0.651,0.666
1/22/21,-0.134,0.04,0.655,0.674
1/25/21,-0.126,0.04,0.66,0.679
1/26/21,-0.126,0.035,0.651,0.677
1/27/21,-0.127,0.041,0.651,0.679
1/28/21,-0.128,0.041,0.649,0.67
1/29/21,-0.118,0.056,0.66,0.683
2/1/21,-0.12,0.061,0.67,0.688
2/2/21,-0.111,0.057,0.67,0.688
2/3/21,-0.112,0.062,0.67,0.683
2/4/21,-0.122,0.061,0.66,0.678
2/5/21,-0.123,0.061,0.656,0.674
2/8/21,-0.125,0.071,0.67,0.686
2/9/21,-0.125,0.072,0.675,0.692
2/10/21,-0.116,0.082,0.67,0.687
2/12/21,-0.127,0.067,0.67,0.687
2/15/21,-0.125,0.083,0.68,0.692
2/16/21,-0.126,0.083,0.679,0.692
2/17/21,-0.121,0.104,0.689,0.701
2/18/21,-0.126,0.099,0.679,0.692
2/19/21,-0.122,0.108,0.68,0.696
2/22/21,-0.117,0.124,0.697,0.717
2/24/21,-0.118,0.125,0.712,0.73
2/25/21,-0.117,0.149,0.744,0.764
2/26/21,-0.117,0.168,0.751,0.776
3/1/21,-0.12,0.16,0.725,0.752
3/2/21,-0.12,0.135,0.706,0.73
3/3/21,-0.121,0.123,0.678,0.7
3/4/21,-0.122,0.143,0.711,0.726
3/5/21,-0.132,0.095,0.673,0.692
3/8/21,-0.125,0.12,0.683,0.701
3/9/21,-0.123,0.137,0.702,0.717
3/10/21,-0.116,0.131,0.692,0.709
3/11/21,-0.124,0.11,0.655,0.675
3/12/21,-0.127,0.121,0.669,0.679
3/15/21,-0.129,0.116,0.678,0.692
3/16/21,-0.14,0.107,0.669,0.683
3/17/21,-0.13,0.102,0.664,0.679
3/18/21,-0.131,0.111,0.664,0.679
3/19/21,-0.121,0.123,0.674,0.688
3/22/21,-0.133,0.088,0.638,0.657
3/23/21,-0.124,0.088,0.629,0.653
3/24/21,-0.132,0.078,0.629,0.662
3/25/21,-0.115,0.092,0.637,0.656
3/26/21,-0.116,0.088,0.656,0.67
3/29/21,-0.118,0.079,0.638,0.652
3/30/21,-0.128,0.099,0.648,0.666
3/31/21,-0.129,0.104,0.669,0.688
4/1/21,-0.13,0.122,0.697,0.716
4/2/21,-0.12,0.117,0.697,0.718
4/5/21,-0.123,0.117,0.697,0.722
4/6/21,-0.123,0.107,0.682,0.705
4/7/21,-0.124,0.098,0.654,0.679
4/8/21,-0.124,0.099,0.673,0.696
4/9/21,-0.125,0.102,0.678,0.696
4/12/21,-0.12,0.108,0.682,0.692
4/13/21,-0.128,0.103,0.673,0.685
4/14/21,-0.128,0.089,0.65,0.669
4/15/21,-0.13,0.089,0.654,0.67
4/16/21,-0.13,0.089,0.655,0.67
4/19/21,-0.127,0.084,0.655,0.67
4/20/21,-0.122,0.084,0.646,0.658
4/21/21,-0.133,0.075,0.631,0.649
4/22/21,-0.134,0.07,0.636,0.653
4/23/21,-0.134,0.07,0.641,0.657
4/26/21,-0.126,0.075,0.651,0.666
4/27/21,-0.127,0.086,0.646,0.661
4/28/21,-0.127,0.095,0.655,0.675
4/30/21,-0.119,0.095,0.66,0.679
5/6/21,-0.123,0.091,0.655,0.679
5/7/21,-0.124,0.086,0.655,0.679
5/10/21,-0.126,0.087,0.651,0.671
5/11/21,-0.126,0.077,0.641,0.666
5/12/21,-0.127,0.082,0.641,0.663
5/13/21,-0.128,0.098,0.673,0.692
5/14/21,-0.128,0.087,0.655,0.679
5/17/21,-0.126,0.082,0.654,0.678
5/18/21,-0.121,0.082,0.66,0.686
5/19/21,-0.122,0.077,0.66,0.688
5/20/21,-0.122,0.088,0.669,0.697
5/21/21,-0.123,0.086,0.678,0.705
5/24/21,-0.125,0.083,0.675,0.705
5/25/21,-0.125,0.078,0.674,0.705
5/26/21,-0.126,0.077,0.675,0.705
5/27/21,-0.127,0.079,0.67,0.711
5/28/21,-0.127,0.089,0.675,0.711
5/31/21,-0.119,0.084,0.675,0.711
6/1/21,-0.12,0.085,0.683,0.72
6/2/21,-0.121,0.084,0.69,0.725
6/3/21,-0.122,0.09,0.687,0.72
6/4/21,-0.123,0.092,0.692,0.725
6/7/21,-0.126,0.084,0.692,0.725
6/8/21,-0.127,0.08,0.683,0.719
6/9/21,-0.125,0.075,0.67,0.71
6/10/21,-0.119,0.056,0.664,0.707
6/11/21,-0.119,0.04,0.661,0.705
6/14/21,-0.122,0.045,0.661,0.707
6/15/21,-0.123,0.056,0.675,0.72
6/16/21,-0.12,0.056,0.686,0.738
6/17/21,-0.12,0.07,0.691,0.743
6/18/21,-0.121,0.066,0.677,0.733
6/21/21,-0.117,0.053,0.678,0.738
6/22/21,-0.117,0.063,0.678,0.738
6/23/21,-0.117,0.063,0.668,0.73
6/24/21,-0.118,0.064,0.672,0.73
6/25/21,-0.118,0.059,0.682,0.743
6/28/21,-0.117,0.07,0.691,0.752
6/29/21,-0.118,0.07,0.691,0.752
6/30/21,-0.109,0.07,0.691,0.761
7/1/21,-0.11,0.052,0.682,0.748
7/2/21,-0.11,0.042,0.672,0.734
7/5/21,-0.112,0.032,0.678,0.739
7/6/21,-0.103,0.043,0.673,0.739
7/7/21,-0.103,0.033,0.674,0.739
7/8/21,-0.112,0.028,0.658,0.721
7/9/21,-0.113,0.029,0.669,0.734
7/12/21,-0.107,0.028,0.669,0.734
7/13/21,-0.117,0.023,0.669,0.739
7/14/21,-0.118,0.019,0.669,0.739
7/15/21,-0.119,0.014,0.641,0.717
7/16/21,-0.119,0.019,0.646,0.717
7/19/21,-0.131,0.018,0.651,0.721
7/20/21,-0.132,0.014,0.645,0.717
7/21/21,-0.132,0.015,0.661,0.734
7/26/21,-0.136,0.015,0.652,0.73
7/27/21,-0.126,0.02,0.656,0.739
7/28/21,-0.127,0.016,0.647,0.73
7/29/21,-0.127,0.022,0.642,0.722
7/30/21,-0.128,0.022,0.642,0.72
8/2/21,-0.13,0.022,0.642,0.727
8/3/21,-0.131,0.012,0.638,0.726
8/4/21,-0.132,0.007,0.634,0.723
8/5/21,-0.132,0.012,0.639,0.729
8/6/21,-0.133,0.017,0.643,0.728
8/10/21,-0.128,0.028,0.648,0.733
8/11/21,-0.129,0.044,0.657,0.737
8/12/21,-0.13,0.028,0.648,0.724
8/13/21,-0.131,0.029,0.653,0.733
8/16/21,-0.134,0.018,0.648,0.728
8/17/21,-0.135,0.012,0.643,0.724
8/18/21,-0.136,0.018,0.652,0.728
8/19/21,-0.137,0.018,0.652,0.724
8/20/21,-0.138,0.013,0.652,0.724
8/23/21,-0.135,0.025,0.653,0.728
8/24/21,-0.135,0.025,0.658,0.729
8/25/21,-0.133,0.026,0.653,0.728
8/26/21,-0.134,0.024,0.643,0.719
8/27/21,-0.135,0.029,0.648,0.724
8/30/21,-0.138,0.025,0.653,0.729
8/31/21,-0.129,0.03,0.654,0.733
9/1/21,-0.13,0.035,0.654,0.733
9/2/21,-0.121,0.04,0.647,0.724
9/3/21,-0.122,0.046,0.654,0.734
9/6/21,-0.114,0.051,0.664,0.738
9/7/21,-0.115,0.046,0.664,0.743
9/8/21,-0.116,0.053,0.671,0.747
9/9/21,-0.117,0.047,0.662,0.738
9/10/21,-0.118,0.051,0.657,0.734
9/13/21,-0.121,0.051,0.657,0.729
9/14/21,-0.122,0.051,0.65,0.725
9/15/21,-0.123,0.041,0.65,0.725
9/16/21,-0.119,0.052,0.652,0.725
9/17/21,-0.12,0.057,0.657,0.729
9/21/21,-0.123,0.047,0.657,0.734
9/22/21,-0.124,0.044,0.657,0.734
9/24/21,-0.125,0.063,0.676,0.752
9/27/21,-0.117,0.063,0.685,0.762
9/28/21,-0.118,0.084,0.695,0.775
9/29/21,-0.119,0.08,0.681,0.76
9/30/21,-0.109,0.081,0.677,0.753
10/1/21,-0.12,0.064,0.663,0.743
10/4/21,-0.113,0.059,0.672,0.753
10/5/21,-0.114,0.062,0.681,0.762
10/6/21,-0.113,0.083,0.688,0.766
10/7/21,-0.114,0.073,0.682,0.766
10/8/21,-0.114,0.083,0.69,0.775
10/11/21,-0.116,0.093,0.7,0.78
10/12/21,-0.117,0.093,0.696,0.771
10/13/21,-0.118,0.088,0.691,0.765
10/14/21,-0.119,0.084,0.688,0.758
10/15/21,-0.119,0.079,0.688,0.758
10/18/21,-0.116,0.094,0.697,0.767
10/19/21,-0.117,0.09,0.693,0.762
10/20/21,-0.117,0.095,0.697,0.759
10/21/21,-0.117,0.09,0.693,0.755
10/22/21,-0.117,0.095,0.702,0.764
10/25/21,-0.116,0.1,0.707,0.764
10/26/21,-0.108,0.104,0.697,0.751
10/27/21,-0.109,0.101,0.693,0.738
10/28/21,-0.109,0.091,0.684,0.731
10/29/21,-0.109,0.101,0.674,0.71
11/1/21,-0.11,0.097,0.674,0.71
11/2/21,-0.1,0.087,0.684,0.724
11/4/21,-0.102,0.081,0.683,0.728
11/5/21,-0.112,0.067,0.679,0.727
11/8/21,-0.112,0.062,0.679,0.724
11/9/21,-0.105,0.068,0.684,0.728
11/10/21,-0.106,0.062,0.67,0.71
11/11/21,-0.107,0.072,0.684,0.719
11/12/21,-0.117,0.078,0.679,0.719
11/15/21,-0.125,0.072,0.68,0.724
11/16/21,-0.131,0.078,0.68,0.726
11/17/21,-0.136,0.079,0.685,0.733
11/18/21,-0.131,0.089,0.685,0.738
11/19/21,-0.136,0.083,0.675,0.729
11/22/21,-0.137,0.079,0.685,0.738
11/24/21,-0.138,0.091,0.689,0.744
11/25/21,-0.138,0.09,0.683,0.737
11/26/21,-0.14,0.079,0.678,0.728
11/29/21,-0.139,0.081,0.688,0.737
11/30/21,-0.13,0.067,0.671,0.728
12/1/21,-0.13,0.072,0.671,0.728
12/2/21,-0.12,0.066,0.675,0.732
12/3/21,-0.121,0.063,0.67,0.714
12/6/21,-0.123,0.048,0.666,0.709
12/7/21,-0.124,0.063,0.679,0.714
12/8/21,-0.124,0.058,0.673,0.718
12/9/21,-0.115,0.058,0.676,0.726
12/10/21,-0.113,0.063,0.675,0.722
12/13/21,-0.114,0.058,0.667,0.717
12/14/21,-0.119,0.06,0.668,0.718
12/15/21,-0.119,0.059,0.668,0.718
12/16/21,-0.116,0.054,0.658,0.709
12/17/21,-0.11,0.06,0.659,0.709
12/20/21,-0.112,0.05,0.658,0.709
12/21/21,-0.113,0.067,0.664,0.723
12/22/21,-0.104,0.072,0.669,0.723
12/23/21,-0.104,0.078,0.678,0.732
12/24/21,-0.098,0.079,0.679,0.737
12/27/21,-0.099,0.078,0.675,0.74
12/28/21,-0.099,0.078,0.684,0.749
12/29/21,-0.098,0.073,0.684,0.75
12/30/21,-0.089,0.089,0.693,0.759
1/4/22,-0.091,0.104,0.693,0.759
1/5/22,-0.091,0.098,0.697,0.764
1/6/22,-0.1,0.118,0.71,0.773
1/7/22,-0.1,0.133,0.709,0.768
1/11/22,-0.108,0.153,0.714,0.769
1/12/22,-0.108,0.129,0.7,0.759
1/13/22,-0.107,0.129,0.704,0.759
1/14/22,-0.107,0.15,0.719,0.769
1/17/22,-0.107,0.145,0.71,0.756
1/18/22,-0.106,0.15,0.71,0.76
1/19/22,-0.106,0.139,0.705,0.761
1/20/22,-0.105,0.145,0.714,0.77
1/21/22,-0.105,0.135,0.709,0.765
1/24/22,-0.093,0.141,0.719,0.77
1/25/22,-0.093,0.141,0.718,0.774
1/26/22,-0.093,0.141,0.719,0.779
1/27/22,-0.082,0.161,0.736,0.788
1/28/22,-0.082,0.172,0.751,0.81
1/31/22,-0.08,0.177,0.768,0.824
2/1/22,-0.08,0.187,0.782,0.833
2/2/22,-0.08,0.182,0.791,0.842
2/3/22,-0.081,0.182,0.778,0.825
2/4/22,-0.081,0.203,0.792,0.843
2/7/22,-0.082,0.202,0.814,0.869
2/8/22,-0.082,0.213,0.841,0.896
2/9/22,-0.083,0.212,0.818,0.865
2/10/22,-0.08,0.233,0.854,0.904
2/14/22,-0.074,0.223,0.867,0.918
2/15/22,-0.075,0.219,0.877,0.927
2/16/22,-0.075,0.223,0.906,0.945
2/17/22,-0.065,0.227,0.959,0.989
2/18/22,-0.066,0.223,0.911,0.946
2/21/22,-0.07,0.213,0.872,0.911
2/22/22,-0.07,0.197,0.845,0.884
2/24/22,-0.07,0.193,0.859,0.898
2/25/22,-0.07,0.214,0.898,0.934
2/28/22,-0.07,0.191,0.867,0.906
3/1/22,-0.07,0.186,0.876,0.915
3/2/22,-0.07,0.144,0.84,0.88
3/3/22,-0.071,0.178,0.841,0.88
3/4/22,-0.081,0.164,0.823,0.863
3/7/22,-0.082,0.153,0.813,0.851
3/8/22,-0.083,0.165,0.859,0.894
3/9/22,-0.073,0.174,0.85,0.885
3/10/22,-0.073,0.198,0.859,0.889
3/11/22,-0.074,0.193,0.859,0.889
3/14/22,-0.064,0.204,0.849,0.872
3/15/22,-0.065,0.219,0.885,0.908
3/16/22,-0.065,0.213,0.876,0.898
3/17/22,-0.065,0.213,0.875,0.897
3/18/22,-0.06,0.218,0.873,0.894
3/22/22,-0.062,0.229,0.895,0.918
3/23/22,-0.062,0.234,0.913,0.936
3/24/22,-0.063,0.243,0.912,0.933
3/25/22,-0.063,0.248,0.938,0.961
3/28/22,-0.054,0.263,0.982,1.011
3/29/22,-0.055,0.255,1.029,1.083
3/30/22,-0.065,0.224,0.969,1.021
3/31/22,-0.075,0.218,0.906,0.946
4/1/22,-0.075,0.226,0.918,0.963
4/4/22,-0.076,0.223,0.928,0.972
4/5/22,-0.076,0.212,0.94,0.989
4/6/22,-0.075,0.238,0.991,1.047
4/7/22,-0.077,0.232,0.99,1.052
4/8/22,-0.097,0.227,0.969,1.036
4/11/22,-0.105,0.236,0.996,1.057
4/12/22,-0.108,0.241,0.996,1.053
4/13/22,-0.099,0.236,0.982,1.029
4/14/22,-0.095,0.237,0.947,0.994
4/15/22,-0.095,0.242,0.938,0.984
4/18/22,-0.085,0.242,0.961,1.01
4/19/22,-0.085,0.244,0.97,1.019
4/20/22,-0.075,0.253,0.984,1.028
4/21/22,-0.081,0.249,0.988,1.028
4/22/22,-0.085,0.25,1.015,1.053
4/25/22,-0.085,0.25,1.002,1.049
4/26/22,-0.085,0.251,0.988,1.036
4/27/22,-0.085,0.25,0.979,1.028
4/28/22,-0.085,0.22,0.974,1.02
5/2/22,-0.075,0.231,0.989,1.036
5/6/22,-0.075,0.247,1.012,1.058
5/9/22,-0.075,0.253,1.03,1.075
5/10/22,-0.075,0.253,1.029,1.079
5/11/22,-0.075,0.253,1.021,1.079
5/12/22,-0.086,0.251,1.007,1.075
5/13/22,-0.092,0.247,0.998,1.061
5/16/22,-0.086,0.247,1.002,1.07
5/17/22,-0.086,0.247,1.016,1.087
5/18/22,-0.086,0.246,1.021,1.087
5/19/22,-0.085,0.246,1.007,1.075
5/20/22,-0.096,0.243,0.989,1.062
5/23/22,-0.095,0.244,0.989,1.062
5/24/22,-0.095,0.239,0.97,1.045
5/25/22,-0.098,0.215,0.962,1.033
5/26/22,-0.095,0.24,1.002,1.078
5/27/22,-0.095,0.236,0.989,1.061
5/30/22,-0.095,0.241,1.001,1.07
5/31/22,-0.085,0.246,1.021,1.092
6/1/22,-0.085,0.242,1.034,1.11
6/2/22,-0.085,0.251,1.038,1.122
6/3/22,-0.086,0.241,1.025,1.101
6/6/22,-0.086,0.252,1.029,1.106
6/7/22,-0.087,0.257,1.052,1.123
6/8/22,-0.087,0.257,1.055,1.127
6/9/22,-0.087,0.255,1.074,1.144
6/10/22,-0.088,0.261,1.079,1.153
6/13/22,-0.085,0.264,1.163,1.241
6/14/22,-0.085,0.264,1.157,1.237
6/15/22,-0.095,0.271,1.211,1.286
6/16/22,-0.114,0.269,1.148,1.225
6/17/22,-0.105,0.239,1.152,1.225
6/20/22,-0.101,0.248,1.188,1.254
6/21/22,-0.105,0.252,1.217,1.282
6/22/22,-0.122,0.255,1.226,1.291
6/23/22,-0.132,0.246,1.203,1.275
6/24/22,-0.133,0.24,1.211,1.284
6/27/22,-0.115,0.252,1.25,1.32
6/28/22,-0.114,0.252,1.257,1.337
6/29/22,-0.114,0.246,1.24,1.325
6/30/22,-0.105,0.242,1.213,1.294
7/1/22,-0.105,0.229,1.205,1.29
7/4/22,-0.106,0.235,1.228,1.315
7/5/22,-0.106,0.253,1.255,1.351
7/6/22,-0.106,0.248,1.237,1.339
7/7/22,-0.115,0.249,1.235,1.339
7/8/22,-0.117,0.248,1.249,1.351
7/11/22,-0.118,0.244,1.283,1.384
7/12/22,-0.118,0.244,1.301,1.412
7/13/22,-0.125,0.235,1.267,1.381
7/14/22,-0.109,0.235,1.249,1.36
7/15/22,-0.126,0.235,1.213,1.32
7/19/22,-0.135,0.238,1.267,1.381
7/20/22,-0.145,0.244,1.276,1.394
7/21/22,-0.152,0.239,1.263,1.387
7/22/22,-0.145,0.222,1.237,1.373
7/25/22,-0.142,0.208,1.222,1.363
7/26/22,-0.135,0.215,1.188,1.307
7/27/22,-0.135,0.211,1.174,1.287
7/28/22,-0.134,0.209,1.218,1.326
7/29/22,-0.144,0.185,1.204,1.304
8/1/22,-0.145,0.19,1.238,1.336
8/2/22,-0.135,0.18,1.202,1.293
8/3/22,-0.136,0.195,1.22,1.314
8/4/22,-0.146,0.181,1.197,1.29
8/5/22,-0.146,0.172,1.17,1.261
8/8/22,-0.147,0.182,1.162,1.257
8/9/22,-0.148,0.172,1.135,1.22
8/10/22,-0.138,0.202,1.13,1.209
8/12/22,-0.139,0.197,1.12,1.195
8/15/22,-0.134,0.197,1.135,1.216
8/16/22,-0.134,0.178,1.102,1.187
8/17/22,-0.135,0.192,1.088,1.174
8/18/22,-0.131,0.208,1.121,1.204
8/19/22,-0.131,0.208,1.098,1.179
8/22/22,-0.122,0.235,1.149,1.23
8/23/22,-0.132,0.231,1.172,1.255
8/24/22,-0.133,0.236,1.168,1.251
8/25/22,-0.133,0.241,1.172,1.256
8/26/22,-0.133,0.23,1.168,1.247
8/29/22,-0.133,0.254,1.213,1.289
8/30/22,-0.134,0.234,1.213,1.298
8/31/22,-0.135,0.235,1.204,1.285
9/1/22,-0.135,0.25,1.236,1.318
9/2/22,-0.135,0.25,1.273,1.364
9/5/22,-0.136,0.245,1.254,1.353
9/6/22,-0.135,0.253,1.263,1.362
9/7/22,-0.135,0.263,1.307,1.412
9/8/22,-0.135,0.263,1.303,1.404
9/9/22,-0.136,0.265,1.316,1.417
9/12/22,-0.146,0.265,1.289,1.393
9/13/22,-0.146,0.26,1.236,1.34
9/14/22,-0.155,0.27,1.199,1.299
9/15/22,-0.156,0.272,1.262,1.35
9/16/22,-0.156,0.273,1.293,1.381
9/20/22,-0.141,0.274,1.317,1.406
9/21/22,-0.136,0.287,1.321,1.41
9/22/22,-0.136,0.27,1.312,1.406
9/26/22,-0.125,0.287,1.379,1.474
9/27/22,-0.125,0.294,1.427,1.54
9/28/22,-0.125,0.284,1.462,1.587
9/29/22,-0.125,0.283,1.396,1.51
9/30/22,-0.115,0.277,1.391,1.497
10/3/22,-0.115,0.267,1.33,1.439
10/4/22,-0.126,0.249,1.325,1.43
10/5/22,-0.135,0.249,1.344,1.442
10/6/22,-0.137,0.249,1.358,1.462
10/7/22,-0.135,0.25,1.369,1.474
10/11/22,-0.128,0.256,1.435,1.545
10/12/22,-0.128,0.257,1.468,1.592
10/13/22,-0.126,0.252,1.465,1.584
10/14/22,-0.126,0.253,1.456,1.573
10/17/22,-0.126,0.259,1.495,1.615
10/18/22,-0.126,0.259,1.499,1.624
10/19/22,-0.115,0.259,1.495,1.62
10/20/22,-0.1,0.261,1.507,1.621
10/21/22,-0.095,0.261,1.558,1.676
10/24/22,-0.088,0.263,1.617,1.732
10/25/22,-0.095,0.263,1.549,1.669
10/26/22,-0.105,0.264,1.528,1.642
10/27/22,-0.114,0.265,1.469,1.587
10/28/22,-0.114,0.254,1.438,1.558
10/31/22,-0.105,0.253,1.417,1.531
11/1/22,-0.105,0.264,1.482,1.598
11/2/22,-0.095,0.258,1.518,1.632
11/4/22,-0.095,0.263,1.54,1.655
11/7/22,-0.095,0.265,1.556,1.678
